month,network,date,n
2015.75,CNN,2015-09-10,94
2015.75,Fox News,2015-09-10,1
2015.833,CNN,2015-10-01,94
2015.833,Fox News,2015-10-01,1
2015.917,CNN,2015-11-05,39
2015.917,Fox News,2015-11-12,1
2016,CNN,2015-12-03,123
2016,Fox News,2015-12-03,2
2016.083,CNN,2016-01-08,141
2016.083,Fox News,2016-01-15,8
2016.167,CNN,2016-02-05,228
2016.167,Fox News,2016-02-05,4
2016.25,CNN,2016-03-04,325
2016.25,Fox News,2016-03-04,5
2016.333,CNN,2016-04-01,351
2016.333,Fox News,2016-04-01,1
2016.417,CNN,2016-05-06,421
2016.417,Fox News,2016-05-06,3
2016.5,CNN,2016-06-03,257
2016.5,Fox News,2016-06-03,1
2016.583,CNN,2016-07-01,290
2016.583,Fox News,2016-07-15,2
2016.667,CNN,2016-08-05,374
2016.667,Fox News,2016-08-12,5
2016.75,CNN,2016-09-02,396
2016.75,Fox News,2016-09-02,4
2016.833,CNN,2016-10-07,487
2016.833,Fox News,2016-10-07,6
2016.917,CNN,2016-11-04,555
2016.917,Fox News,2016-11-04,9
2017,CNN,2016-12-02,428
2017,Fox News,2016-12-02,3
2017.083,CNN,2017-01-08,593
2017.083,Fox News,2017-01-15,4
2017.167,CNN,2017-02-05,623
2017.167,Fox News,2017-02-12,4
2017.25,CNN,2017-03-05,411
2017.25,Fox News,2017-03-05,14
2017.333,CNN,2017-04-02,540
2017.333,Fox News,2017-04-02,42
2017.417,CNN,2017-05-07,426
2017.417,Fox News,2017-05-07,38
2017.5,CNN,2017-06-04,336
2017.5,Fox News,2017-06-04,31
2017.583,CNN,2017-07-02,556
2017.583,Fox News,2017-07-02,47
2017.667,CNN,2017-08-06,419
2017.667,Fox News,2017-08-06,40
2017.75,CNN,2017-09-03,253
2017.75,Fox News,2017-09-03,33
2017.833,CNN,2017-10-01,470
2017.833,Fox News,2017-10-01,40
2017.917,CNN,2017-11-05,339
2017.917,Fox News,2017-11-05,20
2018,CNN,2017-12-03,413
2018,Fox News,2017-12-03,47
2018.083,CNN,2018-01-08,417
2018.083,Fox News,2018-01-08,33
2018.167,CNN,2018-02-05,304
2018.167,Fox News,2018-02-05,25
2018.25,CNN,2018-03-05,473
2018.25,Fox News,2018-03-05,35
2018.333,CNN,2018-04-02,610
2018.333,Fox News,2018-04-02,63
2018.417,CNN,2018-05-07,412
2018.417,Fox News,2018-05-07,57
2018.5,CNN,2018-06-04,405
2018.5,Fox News,2018-06-04,49
2018.583,CNN,2018-07-02,532
2018.583,Fox News,2018-07-02,57
2018.667,CNN,2018-08-06,351
2018.667,Fox News,2018-08-06,29
2018.75,CNN,2018-09-03,283
2018.75,Fox News,2018-09-03,18
2018.833,CNN,2018-10-01,403
2018.833,Fox News,2018-10-01,34
2018.917,CNN,2018-11-05,450
2018.917,Fox News,2018-11-05,36
2019,CNN,2018-12-03,491
2019,Fox News,2018-12-03,46
2019.083,CNN,2019-01-08,443
2019.083,Fox News,2019-01-08,61
2019.167,CNN,2019-02-05,388
2019.167,Fox News,2019-02-05,53
2019.25,CNN,2019-03-05,306
2019.25,Fox News,2019-03-05,34
2019.333,CNN,2019-04-02,412
2019.333,Fox News,2019-04-02,53
2019.417,CNN,2019-05-07,427
2019.417,Fox News,2019-05-07,44
2019.5,CNN,2019-06-04,503
2019.5,Fox News,2019-06-04,37
2019.583,CNN,2019-07-02,548
2019.583,Fox News,2019-07-02,34
2019.667,CNN,2019-08-06,563
2019.667,Fox News,2019-08-06,25
2019.75,CNN,2019-09-03,500
2019.75,Fox News,2019-09-03,28
2019.833,CNN,2019-10-01,658
2019.833,Fox News,2019-10-01,37
2019.917,CNN,2019-11-05,450
2019.917,Fox News,2019-11-05,13
2020,CNN,2019-12-03,461
2020,Fox News,2019-12-03,33
2020.083,CNN,2020-01-08,661
2020.083,Fox News,2020-01-08,22
2020.167,CNN,2020-02-05,607
2020.167,Fox News,2020-02-05,32
2020.25,CNN,2020-03-04,349
2020.25,Fox News,2020-03-04,22
2020.333,CNN,2020-04-01,363
2020.333,Fox News,2020-04-08,7
2020.417,CNN,2020-05-06,431
2020.417,Fox News,2020-05-06,14
2020.5,CNN,2020-06-03,586
2020.5,Fox News,2020-06-03,15
2020.583,CNN,2020-07-01,631
2020.583,Fox News,2020-07-01,33
2020.667,CNN,2020-08-05,747
2020.667,Fox News,2020-08-05,45
2020.75,CNN,2020-09-02,1396
2020.75,Fox News,2020-09-02,48
2020.833,CNN,2020-10-07,955
2020.833,Fox News,2020-10-07,4
2020.917,CNN,2020-11-04,609
